# Crossword Dictionary
# Format: WORD|Clue|Hint
CAT|A small furry pet|It meows
CAR|A four wheeled vehicle|Used for driving
CAN|A metal container|Stores food
RAT|A small rodent|Rhymes with cat
BAT|Used in cricket|Flying mammal
BAG|Used to carry things|You take it to school
MAP|Used for navigation|Helps you find the way
MAN|An adult male|Opposite of woman
ANT|A tiny insect|Lives in a colony
ART|Creative expression|Painting and drawing
ARM|Part of the body|Connects to your hand
SUN|Centre of solar system|Rises in the east
SAT|Past tense of sit|He sat down
TAN|A brown skin colour|From the sun
TIN|A metal container|Shiny metal
TAP|A device controlling water|Found in kitchen
NAP|A short sleep|Afternoon rest
NET|Used to catch fish|Also used in tennis
PAN|A flat cooking vessel|Used on stove
PAT|To touch gently|Stroke a dog
PIN|A thin pointed object|Used in sewing
PIT|A deep hole in ground|Hollow space
RAN|Past tense of run|He ran fast
RAG|A torn piece of cloth|Used for cleaning
RIM|Edge of a circular object|Edge of a wheel
ROT|To decay|Food goes bad
NIT|A tiny insect egg|Found in hair
TIP|End of something sharp|Top of iceberg
RIG|A large truck|Oil platform
MAT|A flat piece of fabric|Placed at the door
RAIN|Water falling from clouds|Makes things wet
MAIN|Most important|Primary thing
MANE|Hair of a lion|Around its neck
MINE|Belonging to me|Also underground tunnel
MINT|A herb used in cooking|Also makes coins
HINT|A small clue|Helps you guess
HAND|Part of the body|At end of arm
BAND|A group of musicians|Also a strip of material
SAND|Tiny grains found at beach|Found in desert
LAND|Solid ground|Opposite of sea
RANK|A position or level|Military grade
TANK|Container for liquid|Also a war vehicle
SANK|Past tense of sink|The ship sank
LANK|Thin and tall|Long and lean
RANT|To speak angrily|Angry speech
PANT|To breathe heavily|Also trousers
RENT|Payment for using property|Monthly payment
DENT|A small hollow in surface|Car damage
BENT|Not straight|Curved shape
SENT|Past tense of send|He sent a letter
TENT|Temporary shelter|Used for camping
VENT|An opening for air|Air passage
NEST|Home built by a bird|Made of twigs
BEST|Most excellent|Top of the list
REST|To relax|Take a break
TEST|An examination|Check knowledge
PEST|An annoying insect|Garden problem
LAST|Final in a series|End of the line
FAST|Moving quickly|Also not eating
PAST|Time gone by|History
CAST|To throw|Also actors in film
MAST|Tall pole on a ship|Holds the sail
VAST|Very large|Enormous size
LOST|Unable to find way|Cannot be found
COST|Amount to be paid|Price of something
MOST|Greatest in amount|Maximum
POST|A pole or mail system|Also job position
RUST|Reddish coating on iron|Metal decay
DUST|Fine dry particles|Settles on surfaces
JUST|Fair and right|Also only recently
MUST|Something necessary|Obligation
GUST|A sudden strong wind|Burst of wind
BURN|To be on fire|Fire damage
TURN|To rotate|Change direction
BORN|Came into existence|Day of birth
CORN|A yellow grain|Grows in fields
HORN|A musical instrument|Also on animals
WORN|Used a lot|Old and tired
TORN|Ripped apart|Damaged cloth
BARN|A farm building|Houses animals
YARN|A type of thread|Used for knitting
EARN|To get money by working|Receive wages
FEAR|A feeling of danger|Being scared
DEAR|Loved or expensive|Term of affection
HEAR|To sense sound|Using your ears
NEAR|Close in distance|Not far away
YEAR|Period of twelve months|Three sixty five days
BEAR|A large wild animal|Lives in forest
GEAR|Equipment or mechanism|Also bicycle gears
TEAR|To rip apart|Also from crying
WEAR|To put on clothing|Dress yourself
PLANT|A living organism that grows in soil|Needs water and sunlight
BRAIN|The organ inside your skull|Controls your body
CHAIR|A piece of furniture to sit on|Has four legs
CLOCK|A device that shows time|Has hands and numbers
CLOUD|Water vapour in the sky|Brings rain
CROWN|Worn by a king or queen|Made of gold
CRANE|A large bird or lifting machine|Used in construction
DRINK|To swallow liquid|Quench your thirst
DREAM|Images seen while sleeping|Happens at night
EARTH|The planet we live on|Third from the sun
FAULT|A mistake or crack in ground|Tectonic plates
FLAME|The glowing part of fire|Hot and bright
FLASH|A sudden burst of light|Lightning produces this
FLOAT|To rest on surface of water|Cork does this
FLOOR|The bottom surface of a room|You walk on it
FROST|Ice crystals formed on surfaces|Cold morning coating
FRUIT|Edible product of a plant|Sweet and healthy
GIANT|Something very large|Fee fi fo fum
GLASS|A transparent material|Windows are made of this
GLOOM|Darkness or sadness|Dim light
GRACE|Elegant movement|Swan like quality
GRADE|A level or mark|School result
GRAIN|A small hard seed|Wheat and rice
GRAND|Large and impressive|Magnificent scale
GRANT|To give or allow|Permission given
GRASS|Green plant covering ground|Lawn is made of this
GRAVE|A place of burial|Found in cemetery
GREAT|Very good or large|Excellent quality
GREEN|The colour of grass|Between blue and yellow
GRIND|To crush into powder|Coffee beans process
GROAN|A deep sound of pain|Sound of suffering
GROVE|A small group of trees|Mini forest
GROWL|A low threatening sound|Dog warning sound
GUARD|To protect or watch over|Security person
GUEST|A visitor to your home|Invited person
GUIDE|Someone who shows the way|Tour leader
GUILT|Feeling of having done wrong|Conscience pain
HABIT|A regular pattern of behaviour|Daily routine
HEART|The organ that pumps blood|Symbol of love
HEAVY|Having great weight|Hard to lift
HEDGE|A row of bushes|Garden boundary
HERBS|Plants used in cooking|Basil and thyme
HINGE|A joint that allows turning|Door attachment
HORSE|A large animal used for riding|Gallops fast
HOTEL|A building providing accommodation|Travellers stay here
HOUSE|A building where people live|Home sweet home
HUMAN|Relating to people|Homo sapiens
HUMOR|The ability to be funny|Makes people laugh
IDEAL|Perfect or most suitable|Best possible
IMAGE|A picture or representation|Visual copy
INDEX|An alphabetical list|Back of a book
INNER|Located inside|Interior part
INPUT|Information entered into system|Data provided
IRONY|Opposite of what is expected|Sarcastic humour
ISSUE|A problem or topic|Matter at hand
IVORY|A creamy white material|From elephant tusks
JEWEL|A precious stone|Diamond or ruby
JUDGE|A person who makes decisions|Court official
JUICE|Liquid from fruit|Orange drink
JUNGLE|Dense tropical forest|Wild animals live here
KNIGHT|A warrior on horseback|Chess piece
KNIFE|A sharp cutting tool|Kitchen utensil
KNOCK|To strike a surface|Tap on the door
KNOWN|Recognised or familiar|Well understood
LABEL|A tag with information|Attached to clothing
LANCE|A long weapon used by knights|Jousting weapon
LARGE|Greater than average size|Bigger than medium
LASER|A focused beam of light|Used in surgery
LATER|After the present time|Not now but soon
LAUGH|To express amusement|Ha ha ha
LAYER|A thickness of material|One level of many
LEARN|To gain knowledge|Study and understand
LEAVE|To go away from|Depart a place
LEGAL|Permitted by law|Lawful action
LEVEL|A flat horizontal surface|Even and straight
LIGHT|Electromagnetic radiation we see|Opposite of dark
LIMIT|A point beyond which you cannot go|Maximum boundary
LINEN|A type of fabric|Made from flax
LIVER|An organ in the body|Filters blood
